time,V (V),I (A),T0 (C),T1 (C),T2 (C),T3 (C),T4 (C),T5 (C),Tw1 (C),Tw2 (C),Tw3 (C),Tw4 (C),P (V),T0cal (C),T1cal (C),T2cal (C),T3cal (C),T4cal (C),T5cal (C),Tw1cal (C),Tw2cal (C),Tw3cal (C),Tw4cal (C),Pcal (psi),Q01 (W),Q12 (W),Q23 (W),Q34 (W),Q45 (W),T6ext (C),T_s (C)
2024-07-18T16:57:59.835356,50.99,0.0,150.2583465576172,128.3321075439453,124.2599105834961,120.92782592773438,117.12276458740234,108.8365478515625,98.26753997802734,97.82109832763672,98.91744995117188,98.3806381225586,0.04533408209681511,151.17570771330497,128.0452127789567,123.80791835444177,120.71697297380985,116.96512504776217,107.53119854896809,97.74801201980735,96.83078523604101,98.02679701889637,97.75075959959733,13.536393854574568,148.40051957272746,10.003844952917115,7.311269206301213,8.863346789029634,6.136195157121907,98.64208348375956,102.29985165934227
2024-07-18T16:58:02.729356,55.35,0.4628,150.23805236816406,128.3533172607422,124.2846908569336,120.92706298828125,117.13382720947266,108.87952423095703,98.32984161376953,97.84587097167969,98.92119598388672,98.44268798828125,0.04533528536558151,151.1551942332627,128.06651740110024,123.83279102510802,120.71620681071106,116.97624621639362,107.57401866440422,97.81104459435157,96.85566849154985,98.0305288330522,97.81276608666195,13.536755373868209,148.13222319128243,9.995421133227056,7.371914864088124,8.835264215962152,6.1155769210254505,98.71306781630982,102.56785139973091
2024-07-18T16:58:04.732189,0.13,0.0,150.20973205566406,128.382568359375,124.29930877685547,120.95166778564453,117.14109802246094,108.90459442138672,98.36019897460938,97.84587097167969,98.9881591796875,98.43218994140625,0.04530663043260574,151.12656790321876,128.09589938717878,123.84746345029168,120.7409155706471,116.9835555086045,107.59899769854644,97.84175811555063,96.85566849154985,98.0972378612512,97.80227537890333,13.528146066107597,147.760053712136,10.030148992982667,7.3481750899468405,8.876368631554808,6.1040838290577994,98.69682293260381,102.58132277851757
2024-07-18T16:58:06.724565,0.13,0.0,150.1993408203125,128.39097595214844,124.32044982910156,120.96186828613281,117.14216613769531,108.9203109741211,98.261962890625,97.79871368408203,98.95303344726562,98.42420196533203,0.045318640768527985,151.11606438449036,128.10434460070474,123.86868333034593,120.75115917127795,116.98462927661029,107.61465710522111,97.74236950058229,96.80830064359785,98.06224545315867,97.79429298717129,13.531754543515321,147.63848252570992,9.999989232892636,7.3741381930967504,8.898031398318059,6.094596758602573,98.6907565926759,102.80931985746791
2024-07-18T16:58:08.734172,0.13,0.0,150.1754913330078,128.3865509033203,124.32424926757812,120.96019744873047,117.16326141357422,108.94932556152344,98.33464050292969,97.81309509277344,98.98408508300781,98.42330932617188,0.045328591018915176,151.09195718952338,128.09989975148054,123.87249693563898,120.7494812740916,117.00583619472475,107.64356619433944,97.81589978531268,96.82274626621385,98.09317922834039,97.79340097204937,13.534744073030218,147.5123329412532,9.980491815374684,7.387127698904765,8.843968425028075,6.089586965021998,98.77388583156166,102.71436801988263
2024-07-18T16:58:10.730135,0.13,0.0,150.13771057128906,128.3837890625,124.3224105834961,120.97750091552734,117.17050170898438,108.96512603759766,98.29949951171875,97.84188079833984,98.9825668334961,98.41941833496094,0.045281920582056046,151.05376818457253,128.097125552482,123.87065139572809,120.7668578531722,117.01311480784976,107.6593092192051,97.78034651096162,96.85166050182669,98.09166674154403,97.78951270100511,13.520722049158021,147.28511879737917,9.978299340508363,7.341660028222849,8.867823809332666,6.084081380222553,98.76570411771905,102.77487298067356
2024-07-18T16:58:12.726367,0.13,0.0,150.11117553710938,128.3762969970703,124.32868194580078,121.00011444091797,117.193115234375,108.98494720458984,98.36019897460938,97.89061737060547,98.98914337158203,98.43157958984375,0.04531503841280937,151.02694642382554,128.08959996293345,123.87694614181419,120.78956692742038,117.03584801048673,107.67905831558413,97.84175811555063,96.90061468605535,98.09821831751619,97.80166545403364,13.53067222414396,147.16131851382528,9.945670856141922,7.302833857826709,8.867766808547586,6.086022359768096,98.7855103806007,102.94535736660742
2024-07-18T16:58:14.727952,0.13,0.0,150.0719757080078,128.35833740234375,124.32442474365234,120.99951171875,117.1943130493164,108.98982238769531,98.39835357666016,97.91841888427734,98.93342590332031,98.44934844970703,0.04532790556550026,150.98732301763863,128.07156000590976,123.87267306600391,120.78896165857233,117.03705216460752,107.68391577231476,97.88036035719841,96.92854033529287,98.04271233222083,97.81942189180242,13.53453813015087,147.02284352316536,9.913168572527304,7.294158090126115,8.86349223676938,6.083646108714527,98.79465483650844,102.85161309786241
2024-07-18T16:58:16.737254,0.13,0.0,150.04531860351562,128.3839569091797,124.34266662597656,121.00135040283203,117.20612335205078,108.98989868164062,98.3862075805664,97.95099639892578,99.00214385986328,98.44783782958984,0.0453193262219429,150.960377867538,128.09729415021118,123.89098296611569,120.79080811164043,117.04892497084303,107.68399178885201,97.86807186115696,96.96126331066175,98.11116946073722,97.81791232774995,13.53196048639467,146.68486395626988,9.930696499625352,7.333100445482583,8.83980603015766,6.0913192026087115,98.8184859222133,102.85954401390927
2024-07-18T16:58:18.738251,0.13,0.0,150.00306701660156,128.39964294433594,124.35926055908203,121.01880645751953,117.21263122558594,108.97191619873047,98.35648345947266,97.90526580810547,98.98147583007812,98.46710968017578,0.0453275628387928,150.91766972751014,128.11305037435764,123.90763877236542,120.80833792334079,117.05546728590691,107.66607469102085,97.83799900903544,96.91532852978094,98.09057987917278,97.83717070551033,13.534435158711196,146.3097685661979,9.928572672724984,7.331033087975284,8.865762837296952,6.107228562404104,98.77453655340385,102.79003062475539
